tagged text	entity type	term id
Reptiles	-2	NCBI:8504
Ground	-27	ENVO:00001998
Fissurella	-2	NCBI:315754
neglecta	-2	NCBI:1924105
Lottia	-2	NCBI:72691
Chiton	-2	NCBI:256107
Dentalium	-2	NCBI:39427
Islands	-27	ENVO:00000098
Auricula	-2	NCBI:1952198
myosotis	-2	NCBI:192333
muddy	-27	ENVO:01000001
shores	-27	ENVO:00000304
coast	-27	ENVO:00000303
shores	-27	ENVO:00000304
shores	-27	ENVO:00000304
fossil	-27	ENVO:00002164
Buccinum	-2	NCBI:37540
Archipelago	-27	ENVO:00000220
fossil	-27	ENVO:00002164
fossil	-27	ENVO:00002164
basin	-27	ENVO:00000291
Ocean	-27	ENVO:00000015
Ocean	-27	ENVO:01000048
Ground	-27	ENVO:00001998
Coriocella	-2	NCBI:217736
Natica	-2	NCBI:208832
cs8	-2	NCBI:1034302
olla	-2	NCBI:245891
Parthenia	-2	NCBI:35934
pallida	-25	BTO:0002246
Ground	-27	ENVO:00001998
Parthenia	-2	NCBI:35934
turris	-2	NCBI:439603
Odostomia	-2	NCBI:177493
conoidea	-2	NCBI:37797
Truncatella	-2	NCBI:152317
Truncatella	-2	NCBI:55735
monodonta	-2	NCBI:43340
ovatella	-2	NCBI:999268
striata	-25	BTO:0001311
Littorina	-2	NCBI:31213
Turritella	-2	NCBI:13736
terebra	-2	NCBI:89433
Vermetus	-2	NCBI:766168
Ground	-27	ENVO:00001998
Vermetus	-2	NCBI:766168
anguina	-2	NCBI:165869
Nerita	-2	NCBI:52927
Scissurella	-2	NCBI:315776
spratti	-2	NCBI:178071
spratti	-2	NCBI:196074
spratti	-2	NCBI:351435
sanguineus	-2	NCBI:230633
rugosus	-2	NCBI:1799495
Phasianella	-2	NCBI:335752
pulla	-2	NCBI:344661
pelagic	-27	ENVO:00000208
GEAN	-2	NCBI:42229
Cerithium	-2	NCBI:145869
lima	-2	NCBI:102304
lima	-2	NCBI:178984
Biv	-2	NCBI:100220
Biv	-2	NCBI:11657
gracilis	-25	BTO:0000536
turgida	-2	NCBI:435940
fallax	-2	NCBI:67875
abyssicola	-2	NCBI:83393
Fasciolaria	-2	NCBI:74072
Murex	-2	NCBI:57630
Ground	-27	ENVO:00001998
gravel	-27	ENVO:01000018
Ground	-27	ENVO:00001998
Murex	-2	NCBI:57630
Aporrhais	-2	NCBI:387442
pelecani	-2	NCBI:33617
lanceolata	-2	NCBI:185814
galea	-2	NCBI:10145
Pollia	-2	NCBI:128411
Pollia	-2	NCBI:168090
Nassa	-2	NCBI:1196687
Nassa	-2	NCBI:6484
gibbosula	-2	NCBI:1835352
Columbella	-2	NCBI:1665551
ebenus	-2	NCBI:451715
Tornatella	-2	NCBI:866074
Ground	-27	ENVO:00001998
Tornatella	-2	NCBI:866074
Brachiopoda	-2	NCBI:7568
Crania	-2	NCBI:317944
Crania	-25	BTO:0001295
vitrea	-2	NCBI:145602
muddy	-27	ENVO:01000001
Crania	-2	NCBI:317944
Crania	-25	BTO:0001295
ringens	-2	NCBI:1291387
ringens	-2	NCBI:1417422
Ground	-27	ENVO:00001998
vitrea	-2	NCBI:145602
Crania	-2	NCBI:317944
Crania	-25	BTO:0001295
