Spongia	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_148	MED-AegeanMolluscaAndRadiata_148
Annelida	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_149	MED-AegeanMolluscaAndRadiata_149
Corallina	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_150	MED-AegeanMolluscaAndRadiata_150
Avicula tarentina	Gulf of Smyrna_1842-09-14_47.5488	MED-AegeanMolluscaAndRadiata_151	MED-AegeanMolluscaAndRadiata_151
Hiatella arctica	Gulf of Smyrna_1842-09-14_47.5488	MED-AegeanMolluscaAndRadiata_152	MED-AegeanMolluscaAndRadiata_152
Amphiura chiajei	Gulf of Smyrna_1842-09-14_47.5488	MED-AegeanMolluscaAndRadiata_153	MED-AegeanMolluscaAndRadiata_153
Plumularia	Gulf of Smyrna_1842-09-14_47.5488	MED-AegeanMolluscaAndRadiata_154	MED-AegeanMolluscaAndRadiata_154
Sertulariidae	Gulf of Smyrna_1842-09-14_47.5488	MED-AegeanMolluscaAndRadiata_155	MED-AegeanMolluscaAndRadiata_155
Spongia	Gulf of Smyrna_1842-09-14_47.5488	MED-AegeanMolluscaAndRadiata_156	MED-AegeanMolluscaAndRadiata_156
Avicula	Gulf of Smyrna_1842-09-14_47.5488	MED-AegeanMolluscaAndRadiata_157	MED-AegeanMolluscaAndRadiata_157
Lucina spinifera	Gulf of Smyrna_1842-09-16_51.2064	MED-AegeanMolluscaAndRadiata_158	MED-AegeanMolluscaAndRadiata_158
Ligula prismatica	Gulf of Smyrna_1842-09-16_51.2064	MED-AegeanMolluscaAndRadiata_159	MED-AegeanMolluscaAndRadiata_159
Pandora obtusa	Gulf of Smyrna_1842-09-16_51.2064	MED-AegeanMolluscaAndRadiata_160	MED-AegeanMolluscaAndRadiata_160
Astarte pusilla	Gulf of Smyrna_1842-09-16_51.2064	MED-AegeanMolluscaAndRadiata_161	MED-AegeanMolluscaAndRadiata_161
Sertularia	Gulf of Smyrna_1842-09-16_51.2064	MED-AegeanMolluscaAndRadiata_162	MED-AegeanMolluscaAndRadiata_162
Ophiura texturata	Gulf of Smyrna_1842-09-16_51.2064	MED-AegeanMolluscaAndRadiata_163	MED-AegeanMolluscaAndRadiata_163
Comatula mediterranea	Gulf of Smyrna_1842-09-16_51.2064	MED-AegeanMolluscaAndRadiata_164	MED-AegeanMolluscaAndRadiata_164
Modiola tulipa	Gulf of Smyrna_1842-09-16_51.2064	MED-AegeanMolluscaAndRadiata_165	MED-AegeanMolluscaAndRadiata_165
Lima tenera	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_166	MED-AegeanMolluscaAndRadiata_166
