AphiaID	url	scientificname	authority	status	unacceptreason	taxonRankID	rank	valid_AphiaID	valid_name	valid_authority	parentNameUsageID	kingdom	phylum	class	order	family	genus	citation	lsid	isMarine	isBrackish	isFreshwater	isTerrestrial	isExtinct	match_type	modified	id	tool
1410	https://www.marinespecies.org/aphia.php?p=taxdetails&id=1410	Foraminifera	d'Orbigny, 1826	accepted	NA	30	Phylum	1410	Foraminifera	d'Orbigny, 1826	582420	Chromista	Foraminifera	NA	NA	NA	NA	WoRMS (2021). Foraminifera. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1410 on 2021-01-29	urn:lsid:marinespecies.org:taxname:1410	1	1	1	1	0	exact	2020-05-06T14:04:43.367Z	1410	aphia_id
541899	https://www.marinespecies.org/aphia.php?p=taxdetails&id=541899	Nucula polii	Philippi, 1836	unaccepted	junior synonym	220	Species	140592	Nucula sulcata	Bronn, 1831	138262	Animalia	Mollusca	Bivalvia	Nuculida	Nuculidae	Nucula	MolluscaBase eds. (2021). MolluscaBase. Nucula polii Philippi, 1836. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=541899 on 2021-01-29	urn:lsid:marinespecies.org:taxname:541899	1	0	0	0	0	exact	2020-04-15T21:43:42.270Z	541899	aphia_id
541930	https://www.marinespecies.org/aphia.php?p=taxdetails&id=541930	Nucula striata	P. P. King, 1832	unaccepted	invalid: junior homonym of <i>Nucula striata</i> Lamarck, 1805	220	Species	506255	Neilonella sulculata	(Gould, 1852)	138262	Animalia	Mollusca	Bivalvia	Nuculida	Nuculidae	Nucula	MolluscaBase eds. (2021). MolluscaBase. Nucula striata P. P. King, 1832. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=541930 on 2021-01-29	urn:lsid:marinespecies.org:taxname:541930	1	NA	NA	NA	NA	exact	2019-02-22T20:38:17.097Z	541930	aphia_id
408602	https://www.marinespecies.org/aphia.php?p=taxdetails&id=408602	Poromya anatinoides	Forbes, 1844	unaccepted	NA	220	Species	140843	Poromya granulata	(Nyst & Westendorp, 1839)	138373	Animalia	Mollusca	Bivalvia	NA	Poromyidae	Poromya	MolluscaBase eds. (2021). MolluscaBase. Poromya anatinoides Forbes, 1844. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=408602 on 2021-01-29	urn:lsid:marinespecies.org:taxname:408602	1	NA	NA	NA	NA	exact	2010-11-19T08:29:14.107Z	408602	aphia_id
545986	https://www.marinespecies.org/aphia.php?p=taxdetails&id=545986	Neaera costellata	(Deshayes, 1835)	unaccepted	NA	220	Species	139433	Cardiomya costellata	(Deshayes, 1835)	151924	Animalia	Mollusca	Bivalvia	NA	Cuspidariidae	Neaera	MolluscaBase eds. (2021). MolluscaBase. Neaera costellata (Deshayes, 1835). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=545986 on 2021-01-29	urn:lsid:marinespecies.org:taxname:545986	1	NA	NA	NA	NA	exact	2013-10-20T17:51:22.927Z	545986	aphia_id
140104	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140104	Hiatella rugosa	(Linnaeus, 1767)	accepted	NA	220	Species	140104	Hiatella rugosa	(Linnaeus, 1767)	138068	Animalia	Mollusca	Bivalvia	Adapedonta	Hiatellidae	Hiatella	MolluscaBase eds. (2021). MolluscaBase. Hiatella rugosa (Linnaeus, 1767). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140104 on 2021-01-29	urn:lsid:marinespecies.org:taxname:140104	1	NA	0	0	NA	exact	2018-10-19T06:39:45.843Z	140104	aphia_id
539935	https://www.marinespecies.org/aphia.php?p=taxdetails&id=539935	Kellia abyssicola	Forbes, 1844	unaccepted	NA	220	Species	152396	Kelliella miliaris	(Philippi, 1844)	138095	Animalia	Mollusca	Bivalvia	Galeommatida	Lasaeidae	Kellia	MolluscaBase eds. (2021). MolluscaBase. Kellia abyssicola Forbes, 1844. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=539935 on 2021-01-29	urn:lsid:marinespecies.org:taxname:539935	1	NA	NA	NA	NA	exact	2010-11-10T16:07:33.523Z	539935	aphia_id
466744	https://www.marinespecies.org/aphia.php?p=taxdetails&id=466744	Cardium minimum	Philippi, 1836	unaccepted	original combination	220	Species	1417307	Papillicardium minimum	(Philippi, 1836)	137734	Animalia	Mollusca	Bivalvia	Cardiida	Cardiidae	Cardium	MolluscaBase eds. (2021). MolluscaBase. Cardium minimum Philippi, 1836. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=466744 on 2021-01-29	urn:lsid:marinespecies.org:taxname:466744	1	NA	NA	NA	NA	exact	2014-11-27T15:13:27.193Z	466744	aphia_id
747927	https://www.marinespecies.org/aphia.php?p=taxdetails&id=747927	Bulla utriculus	Brocchi, 1814	unaccepted		220	Species	139486	Roxania utriculus	(Brocchi, 1814)	137716	Animalia	Mollusca	Gastropoda	Cephalaspidea	Bullidae	Bulla	MolluscaBase eds. (2021). MolluscaBase. Bulla utriculus Brocchi, 1814. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=747927 on 2021-01-29	urn:lsid:marinespecies.org:taxname:747927	1	NA	NA	NA	NA	exact	2014-01-30T12:11:24.390Z	747927	aphia_id
153577	https://www.marinespecies.org/aphia.php?p=taxdetails&id=153577	Trochus millegranus	Philippi, 1836	unaccepted	synonym	220	Species	141774	Clelandella miliaris	(Brocchi, 1814)	138598	Animalia	Mollusca	Gastropoda	Trochida	Trochidae	Trochus	MolluscaBase eds. (2021). MolluscaBase. Trochus millegranus Philippi, 1836. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=153577 on 2021-01-29	urn:lsid:marinespecies.org:taxname:153577	1	NA	0	0	NA	exact	2014-01-31T07:34:01.070Z	153577	aphia_id
